Sex;Age;Periodo;Total
Both genders;25 years old;2020;13.641
Both genders;25 years old;2019;22.810
Both genders;25 years old;2018;19.705
Both genders;25 years old;2017;16.478
Both genders;25 years old;2016;12.237
Both genders;25 years old;2015;10.356
Both genders;25 years old;2014;9.237
Both genders;25 years old;2013;8.414
Both genders;25 years old;2012;9.741
Both genders;25 years old;2011;12.248
Both genders;25 years old;2010;11.768
Both genders;25 years old;2009;12.930
Both genders;25 years old;2008;21.396
Both genders;26 years old;2021;15.298
Both genders;26 years old;2020;14.035
Both genders;26 years old;2019;23.169
Both genders;26 years old;2018;19.903
Both genders;26 years old;2017;16.624
Both genders;26 years old;2016;12.697
Both genders;26 years old;2015;10.251
Both genders;26 years old;2014;9.097
Both genders;26 years old;2013;8.141
Both genders;26 years old;2012;9.330
Both genders;26 years old;2011;12.010
Both genders;26 years old;2010;11.616
Both genders;26 years old;2009;13.102
Both genders;26 years old;2008;21.787
Both genders;27 years old;2021;14.741
Both genders;27 years old;2020;13.894
Both genders;27 years old;2019;22.528
Both genders;27 years old;2018;19.363
Both genders;27 years old;2017;16.542
Both genders;27 years old;2016;12.102
Both genders;27 years old;2015;9.742
Both genders;27 years old;2014;8.744
Both genders;27 years old;2013;7.821
Both genders;27 years old;2012;9.010
Both genders;27 years old;2011;11.526
Both genders;27 years old;2010;11.414
Both genders;27 years old;2009;12.844
Both genders;27 years old;2008;20.819
Both genders;28 years old;2021;14.400
Both genders;28 years old;2020;13.498
Both genders;28 years old;2019;22.113
Both genders;28 years old;2018;19.386
Both genders;28 years old;2017;15.860
Both genders;28 years old;2016;11.472
Both genders;28 years old;2015;9.563
Both genders;28 years old;2014;8.280
Both genders;28 years old;2013;7.669
Both genders;28 years old;2012;8.528
Both genders;28 years old;2011;10.963
Both genders;28 years old;2010;10.901
Both genders;28 years old;2009;12.215
Both genders;28 years old;2008;20.198
Both genders;29 years old;2021;13.930
Both genders;29 years old;2020;13.297
Both genders;29 years old;2019;21.617
Both genders;29 years old;2018;18.634
Both genders;29 years old;2017;14.941
Both genders;29 years old;2016;11.151
Both genders;29 years old;2015;9.044
Both genders;29 years old;2014;7.947
Both genders;29 years old;2013;7.151
Both genders;29 years old;2012;8.128
Both genders;29 years old;2011;10.571
Both genders;29 years old;2010;10.633
Both genders;29 years old;2009;11.855
Both genders;29 years old;2008;18.754
Both genders;30 years old;2021;13.439
Both genders;30 years old;2020;12.612
Both genders;30 years old;2019;20.465
Both genders;30 years old;2018;17.689
Both genders;30 years old;2017;14.240
Both genders;30 years old;2016;10.357
Both genders;30 years old;2015;8.658
Both genders;30 years old;2014;7.517
Both genders;30 years old;2013;6.795
Both genders;30 years old;2012;7.891
Both genders;30 years old;2011;10.083
Both genders;30 years old;2010;10.213
Both genders;30 years old;2009;10.918
Both genders;30 years old;2008;17.687
Both genders;31 years old;2021;13.230
Both genders;31 years old;2020;12.289
Both genders;31 years old;2019;19.652
Both genders;31 years old;2018;16.419
Both genders;31 years old;2017;13.075
Both genders;31 years old;2016;10.075
Both genders;31 years old;2015;8.245
Both genders;31 years old;2014;7.102
Both genders;31 years old;2013;6.734
Both genders;31 years old;2012;7.327
Both genders;31 years old;2011;9.398
Both genders;31 years old;2010;9.164
Both genders;31 years old;2009;10.303
Both genders;31 years old;2008;16.576
Both genders;32 years old;2021;12.502
Both genders;32 years old;2020;11.550
Both genders;32 years old;2019;18.294
Both genders;32 years old;2018;15.679
Both genders;32 years old;2017;12.547
Both genders;32 years old;2016;9.421
Both genders;32 years old;2015;7.977
Both genders;32 years old;2014;6.736
Both genders;32 years old;2013;6.249
