Sex;Age;Periodo;Total
Both genders;34 years old;2013;16.627
Both genders;34 years old;2012;14.336
Both genders;34 years old;2011;12.585
Both genders;34 years old;2010;12.392
Both genders;34 years old;2009;11.168
Both genders;34 years old;2008;8.330
Both genders;35 years old;2021;8.582
Both genders;35 years old;2020;5.634
Both genders;35 years old;2019;6.910
Both genders;35 years old;2018;7.094
Both genders;35 years old;2017;9.308
Both genders;35 years old;2016;8.329
Both genders;35 years old;2015;9.691
Both genders;35 years old;2014;11.615
Both genders;35 years old;2013;15.351
Both genders;35 years old;2012;13.271
Both genders;35 years old;2011;11.984
Both genders;35 years old;2010;11.395
Both genders;35 years old;2009;10.541
Both genders;35 years old;2008;7.912
Both genders;36 years old;2021;8.374
Both genders;36 years old;2020;5.380
Both genders;36 years old;2019;6.868
Both genders;36 years old;2018;7.235
Both genders;36 years old;2017;9.156
Both genders;36 years old;2016;8.492
Both genders;36 years old;2015;9.309
Both genders;36 years old;2014;10.957
Both genders;36 years old;2013;14.880
Both genders;36 years old;2012;12.657
Both genders;36 years old;2011;11.246
Both genders;36 years old;2010;10.711
Both genders;36 years old;2009;9.569
Both genders;36 years old;2008;7.458
Both genders;37 years old;2021;8.044
Both genders;37 years old;2020;5.228
Both genders;37 years old;2019;6.806
Both genders;37 years old;2018;7.118
Both genders;37 years old;2017;9.174
Both genders;37 years old;2016;8.171
Both genders;37 years old;2015;9.044
Both genders;37 years old;2014;10.752
Both genders;37 years old;2013;14.010
Both genders;37 years old;2012;12.001
Both genders;37 years old;2011;10.895
Both genders;37 years old;2010;10.138
Both genders;37 years old;2009;9.355
Both genders;37 years old;2008;7.107
Both genders;38 years old;2021;7.877
Both genders;38 years old;2020;5.326
Both genders;38 years old;2019;6.887
Both genders;38 years old;2018;7.079
Both genders;38 years old;2017;9.007
Both genders;38 years old;2016;7.968
Both genders;38 years old;2015;8.486
Both genders;38 years old;2014;10.009
Both genders;38 years old;2013;13.040
Both genders;38 years old;2012;10.799
Both genders;38 years old;2011;9.721
Both genders;38 years old;2010;9.127
Both genders;38 years old;2009;8.656
Both genders;38 years old;2008;6.667
Both genders;39 years old;2021;7.831
Both genders;39 years old;2020;5.371
Both genders;39 years old;2019;6.673
Both genders;39 years old;2018;7.041
Both genders;39 years old;2017;8.462
Both genders;39 years old;2016;7.877
Both genders;39 years old;2015;8.047
Both genders;39 years old;2014;9.505
Both genders;39 years old;2013;12.091
Both genders;39 years old;2012;10.073
Both genders;39 years old;2011;9.277
Both genders;39 years old;2010;8.721
Both genders;39 years old;2009;8.578
Both genders;39 years old;2008;6.065
Both genders;40 years old;2021;7.909
Both genders;40 years old;2020;5.354
Both genders;40 years old;2019;6.564
Both genders;40 years old;2018;6.942
Both genders;40 years old;2017;8.387
Both genders;40 years old;2016;7.289
Both genders;40 years old;2015;8.164
Both genders;40 years old;2014;8.822
Both genders;40 years old;2013;11.278
Both genders;40 years old;2012;10.008
Both genders;40 years old;2011;8.859
Both genders;40 years old;2010;8.664
Both genders;40 years old;2009;7.846
Both genders;40 years old;2008;6.084
Both genders;41 years old;2021;7.756
Both genders;41 years old;2020;5.224
Both genders;41 years old;2019;6.382
Both genders;41 years old;2018;6.793
Both genders;41 years old;2017;8.106
Both genders;41 years old;2016;7.070
Both genders;41 years old;2015;7.529
Both genders;41 years old;2014;8.535
Both genders;41 years old;2013;11.050
Both genders;41 years old;2012;9.104
Both genders;41 years old;2011;8.447
Both genders;41 years old;2010;7.714
Both genders;41 years old;2009;7.466
Both genders;41 years old;2008;5.101
Both genders;42 years old;2021;7.829
Both genders;42 years old;2020;4.912
Both genders;42 years old;2019;6.193
Both genders;42 years old;2018;6.571
Both genders;42 years old;2017;7.729
Both genders;42 years old;2016;6.692
Both genders;42 years old;2015;6.848
Both genders;42 years old;2014;7.827
Both genders;42 years old;2013;10.598
Both genders;42 years old;2012;8.784
Both genders;42 years old;2011;7.842
Both genders;42 years old;2010;7.673
Both genders;42 years old;2009;6.476
Both genders;42 years old;2008;4.739
Both genders;43 years old;2021;7.558
Both genders;43 years old;2020;4.896
Both genders;43 years old;2019;5.791
Both genders;43 years old;2018;6.178
Both genders;43 years old;2017;7.317
Both genders;43 years old;2016;6.379
Both genders;43 years old;2015;6.561
Both genders;43 years old;2014;7.267
Both genders;43 years old;2013;9.537
Both genders;43 years old;2012;7.936
Both genders;43 years old;2011;7.493
Both genders;43 years old;2010;6.683
Both genders;43 years old;2009;6.115
Both genders;43 years old;2008;4.645
Both genders;44 years old;2021;7.118
Both genders;44 years old;2020;4.699
Both genders;44 years old;2019;5.671
Both genders;44 years old;2018;5.915
Both genders;44 years old;2017;6.822
Both genders;44 years old;2016;5.963
Both genders;44 years old;2015;6.085
Both genders;44 years old;2014;7.032
Both genders;44 years old;2013;9.100
Both genders;44 years old;2012;7.753
Both genders;44 years old;2011;6.334
Both genders;44 years old;2010;6.145
Both genders;44 years old;2009;5.628
Both genders;44 years old;2008;4.367
Both genders;45 years old;2021;6.788
Both genders;45 years old;2020;4.417
Both genders;45 years old;2019;5.166
Both genders;45 years old;2018;5.424
Both genders;45 years old;2017;6.496
Both genders;45 years old;2016;5.544
Both genders;45 years old;2015;5.714
Both genders;45 years old;2014;6.477
Both genders;45 years old;2013;8.695
Both genders;45 years old;2012;6.520
Both genders;45 years old;2011;5.915
Both genders;45 years old;2010;5.751
Both genders;45 years old;2009;5.327
Both genders;45 years old;2008;3.964
Both genders;46 years old;2021;6.542
Both genders;46 years old;2020;4.270
Both genders;46 years old;2019;4.794
Both genders;46 years old;2018;5.202
Both genders;46 years old;2017;6.109
Both genders;46 years old;2016;5.191
Both genders;46 years old;2015;5.481
Both genders;46 years old;2014;6.061
Both genders;46 years old;2013;7.368
Both genders;46 years old;2012;6.283
Both genders;46 years old;2011;5.799
Both genders;46 years old;2010;5.605
Both genders;46 years old;2009;4.930
Both genders;46 years old;2008;3.641
Both genders;47 years old;2021;5.956
Both genders;47 years old;2020;3.856
Both genders;47 years old;2019;4.581
Both genders;47 years old;2018;4.949
Both genders;47 years old;2017;5.936
Both genders;47 years old;2016;4.894
Both genders;47 years old;2015;5.093
Both genders;47 years old;2014;5.397
Both genders;47 years old;2013;7.004
Both genders;47 years old;2012;5.929
Both genders;47 years old;2011;5.375
Both genders;47 years old;2010;4.888
Both genders;47 years old;2009;4.616
Both genders;47 years old;2008;3.266
Both genders;48 years old;2021;5.779
Both genders;48 years old;2020;3.791
Both genders;48 years old;2019;4.312
Both genders;48 years old;2018;4.759
Both genders;48 years old;2017;5.627
Both genders;48 years old;2016;4.852
Both genders;48 years old;2015;4.253
Both genders;48 years old;2014;4.801
Both genders;48 years old;2013;6.699
Both genders;48 years old;2012;5.424
Both genders;48 years old;2011;4.962
Both genders;48 years old;2010;4.524
Both genders;48 years old;2009;4.252
Both genders;48 years old;2008;3.253
Both genders;49 years old;2021;5.461
Both genders;49 years old;2020;3.565
Both genders;49 years old;2019;4.274
Both genders;49 years old;2018;4.499
Both genders;49 years old;2017;5.538
Both genders;49 years old;2016;4.142
Both genders;49 years old;2015;4.097
Both genders;49 years old;2014;4.741
Both genders;49 years old;2013;6.144
Both genders;49 years old;2012;5.062
Both genders;49 years old;2011;4.573
Both genders;49 years old;2010;4.246
Both genders;49 years old;2009;4.260
Both genders;49 years old;2008;3.028
Both genders;50 years old;2021;5.305
