Sex;Age;Functions;Period;Total
Both genders;67 years old;Mortality rate;2021;10.918496
Both genders;67 years old;Mortality rate;2020;11.275833
Both genders;67 years old;Mortality rate;2019;9.921292
Both genders;67 years old;Mortality rate;2018;10.111948
Both genders;68 years old;Mortality rate;2022;11.039530
Both genders;68 years old;Mortality rate;2021;11.603258
Both genders;68 years old;Mortality rate;2020;11.910843
Both genders;68 years old;Mortality rate;2019;10.322105
Both genders;68 years old;Mortality rate;2018;10.482370
Both genders;69 years old;Mortality rate;2022;12.556185
Both genders;69 years old;Mortality rate;2021;12.455063
Both genders;69 years old;Mortality rate;2020;13.199008
Both genders;69 years old;Mortality rate;2019;11.302249
Both genders;69 years old;Mortality rate;2018;11.868636
Both genders;70 years old;Mortality rate;2022;13.209032
Both genders;70 years old;Mortality rate;2021;13.569019
Both genders;70 years old;Mortality rate;2020;14.318045
Both genders;70 years old;Mortality rate;2019;12.184546
Both genders;70 years old;Mortality rate;2018;13.203440
Both genders;71 years old;Mortality rate;2022;14.717088
Both genders;71 years old;Mortality rate;2021;14.528217
Both genders;71 years old;Mortality rate;2020;15.418763
Both genders;71 years old;Mortality rate;2019;14.023273
Both genders;71 years old;Mortality rate;2018;13.862603
Both genders;72 years old;Mortality rate;2022;15.636423
Both genders;72 years old;Mortality rate;2021;16.269002
Both genders;72 years old;Mortality rate;2020;17.832533
Both genders;72 years old;Mortality rate;2019;14.789091
Both genders;72 years old;Mortality rate;2018;15.335127
Both genders;73 years old;Mortality rate;2022;17.275371
Both genders;73 years old;Mortality rate;2021;18.265159
Both genders;73 years old;Mortality rate;2020;18.318086
Both genders;73 years old;Mortality rate;2019;16.779475
Both genders;73 years old;Mortality rate;2018;16.645432
Both genders;74 years old;Mortality rate;2022;19.553447
Both genders;74 years old;Mortality rate;2021;19.103474
Both genders;74 years old;Mortality rate;2020;22.063158
Both genders;74 years old;Mortality rate;2019;18.297041
Both genders;74 years old;Mortality rate;2018;18.772672
Both genders;75 years old;Mortality rate;2022;20.959008
Both genders;75 years old;Mortality rate;2021;21.910320
Both genders;75 years old;Mortality rate;2020;23.816008
Both genders;75 years old;Mortality rate;2019;20.350003
Both genders;75 years old;Mortality rate;2018;20.792201
Both genders;76 years old;Mortality rate;2022;24.025769
Both genders;76 years old;Mortality rate;2021;23.837644
Both genders;76 years old;Mortality rate;2020;26.690599
Both genders;76 years old;Mortality rate;2019;22.478159
Both genders;76 years old;Mortality rate;2018;22.605818
Both genders;77 years old;Mortality rate;2022;26.216336
Both genders;77 years old;Mortality rate;2021;27.261370
Both genders;77 years old;Mortality rate;2020;30.670984
Both genders;77 years old;Mortality rate;2019;23.838301
Both genders;77 years old;Mortality rate;2018;25.438934
Both genders;78 years old;Mortality rate;2022;29.808833
Both genders;78 years old;Mortality rate;2021;31.175743
Both genders;78 years old;Mortality rate;2020;31.801891
Both genders;78 years old;Mortality rate;2019;27.461457
Both genders;78 years old;Mortality rate;2018;30.314976
Both genders;79 years old;Mortality rate;2022;34.152208
Both genders;79 years old;Mortality rate;2021;32.292975
Both genders;79 years old;Mortality rate;2020;37.312706
Both genders;79 years old;Mortality rate;2019;31.505253
Both genders;79 years old;Mortality rate;2018;33.618932
Both genders;80 years old;Mortality rate;2022;36.226829
Both genders;80 years old;Mortality rate;2021;38.178681
Both genders;80 years old;Mortality rate;2020;43.597078
Both genders;80 years old;Mortality rate;2019;36.432332
Both genders;80 years old;Mortality rate;2018;38.858483
Both genders;81 years old;Mortality rate;2022;41.643755
Both genders;81 years old;Mortality rate;2021;44.092512
Both genders;81 years old;Mortality rate;2020;49.742853
Both genders;81 years old;Mortality rate;2019;41.424339
Both genders;81 years old;Mortality rate;2018;43.600080
Both genders;82 years old;Mortality rate;2022;49.538108
Both genders;82 years old;Mortality rate;2021;49.818639
Both genders;82 years old;Mortality rate;2020;56.994963
Both genders;82 years old;Mortality rate;2019;47.168454
Both genders;82 years old;Mortality rate;2018;49.215696
Both genders;83 years old;Mortality rate;2022;55.396039
Both genders;83 years old;Mortality rate;2021;56.620389
Both genders;83 years old;Mortality rate;2020;63.045560
Both genders;83 years old;Mortality rate;2019;53.509223
Both genders;83 years old;Mortality rate;2018;55.670004
Both genders;84 years old;Mortality rate;2022;63.976347
Both genders;84 years old;Mortality rate;2021;64.253439
Both genders;84 years old;Mortality rate;2020;73.438819
Both genders;84 years old;Mortality rate;2019;61.087636
Both genders;84 years old;Mortality rate;2018;65.161441
Both genders;85 years old;Mortality rate;2022;73.943493
Both genders;85 years old;Mortality rate;2021;71.755186
Both genders;85 years old;Mortality rate;2020;82.827394
Both genders;85 years old;Mortality rate;2019;70.582746
Both genders;85 years old;Mortality rate;2018;73.713438
Both genders;86 years old;Mortality rate;2022;82.648786
Both genders;86 years old;Mortality rate;2021;83.357706
Both genders;86 years old;Mortality rate;2020;94.964620
Both genders;86 years old;Mortality rate;2019;80.626143
Both genders;86 years old;Mortality rate;2018;84.706337
Both genders;87 years old;Mortality rate;2022;95.703110
Both genders;87 years old;Mortality rate;2021;95.791384
Both genders;87 years old;Mortality rate;2020;108.487134
Both genders;87 years old;Mortality rate;2019;91.886675
Both genders;87 years old;Mortality rate;2018;97.120272
Both genders;88 years old;Mortality rate;2022;111.227321
Both genders;88 years old;Mortality rate;2021;108.618851
Both genders;88 years old;Mortality rate;2020;123.728962
Both genders;88 years old;Mortality rate;2019;105.799836
Both genders;88 years old;Mortality rate;2018;110.378572
Both genders;89 years old;Mortality rate;2022;127.373153
Both genders;89 years old;Mortality rate;2021;122.205344
Both genders;89 years old;Mortality rate;2020;141.529990
Both genders;89 years old;Mortality rate;2019;118.648426
Both genders;89 years old;Mortality rate;2018;126.477210
Both genders;90 years old;Mortality rate;2022;144.823836
Both genders;90 years old;Mortality rate;2021;139.830646
Both genders;90 years old;Mortality rate;2020;161.074950
Both genders;90 years old;Mortality rate;2019;138.432873
Both genders;90 years old;Mortality rate;2018;145.265526
Both genders;91 years old;Mortality rate;2022;168.491005
Both genders;91 years old;Mortality rate;2021;156.122572
Both genders;91 years old;Mortality rate;2020;182.184188
Both genders;91 years old;Mortality rate;2019;154.236600
Both genders;91 years old;Mortality rate;2018;165.264967
Both genders;92 years old;Mortality rate;2022;185.421343
Both genders;92 years old;Mortality rate;2021;179.429242
Both genders;92 years old;Mortality rate;2020;204.114660
Both genders;92 years old;Mortality rate;2019;175.927827
Both genders;92 years old;Mortality rate;2018;179.148591
Both genders;93 years old;Mortality rate;2022;209.982861
Both genders;93 years old;Mortality rate;2021;194.615669
Both genders;93 years old;Mortality rate;2020;228.123031
Both genders;93 years old;Mortality rate;2019;194.423472
Both genders;93 years old;Mortality rate;2018;204.440374
Both genders;94 years old;Mortality rate;2022;232.074888
Both genders;94 years old;Mortality rate;2021;220.946233
Both genders;94 years old;Mortality rate;2020;249.110584
Both genders;94 years old;Mortality rate;2019;212.509118
Both genders;94 years old;Mortality rate;2018;229.373032
Both genders;95 years old;Mortality rate;2022;260.295470
Both genders;95 years old;Mortality rate;2021;244.231890
Both genders;95 years old;Mortality rate;2020;281.805562
Both genders;95 years old;Mortality rate;2019;236.401777
Both genders;95 years old;Mortality rate;2018;250.498207
Both genders;96 years old;Mortality rate;2022;284.541623
Both genders;96 years old;Mortality rate;2021;264.649076
Both genders;96 years old;Mortality rate;2020;307.931354
Both genders;96 years old;Mortality rate;2019;259.390091
Both genders;96 years old;Mortality rate;2018;277.705439
Both genders;97 years old;Mortality rate;2022;317.471579
Both genders;97 years old;Mortality rate;2021;292.405637
Both genders;97 years old;Mortality rate;2020;334.913290
Both genders;97 years old;Mortality rate;2019;288.019171
Both genders;97 years old;Mortality rate;2018;292.659544
Both genders;98 years old;Mortality rate;2022;338.523654
Both genders;98 years old;Mortality rate;2021;308.611716
Both genders;98 years old;Mortality rate;2020;346.732001
Both genders;98 years old;Mortality rate;2019;295.785973
Both genders;98 years old;Mortality rate;2018;306.546079
Both genders;99 years old;Mortality rate;2022;358.966638
Both genders;99 years old;Mortality rate;2021;326.542857
Both genders;99 years old;Mortality rate;2020;358.709775
Both genders;99 years old;Mortality rate;2019;306.836985
Both genders;99 years old;Mortality rate;2018;300.791138
Both genders;100 years or more;Mortality rate;2022;493.766078
Both genders;100 years or more;Mortality rate;2021;433.218265
Both genders;100 years or more;Mortality rate;2020;503.470468
Both genders;100 years or more;Mortality rate;2019;436.300793
Both genders;100 years or more;Mortality rate;2018;477.701137
